date,latitude,longitude,target,temperature_C,dewpoint_C,precip_mm,snowfall_mm,snow_depth_mm,pressure_hPa,wind_speed,relative_humidity,month
1950-01-02,27.792081,79.952479,0,15.92106908162441,4.006482060750329,0.000838029468042123,0.0,0.0,991.7221207682292,0.5472247335237374,45.03362038714689,1
1950-04-20,31.226611,89.465408,0,-1.3106477101643463,-24.06262626647947,0.0004410743663640915,0.0,0.6949106852213541,549.9644368489585,4.9121027830951665,15.862934386471087,4
1950-04-23,30.903921,80.156283,0,-12.5160087585449,-17.33330637613929,0.06908178329467773,0.06550177931785583,155.1283597946167,577.1922835286458,1.2956890725261856,67.26048056298725,4
1950-11-26,31.984128,81.621788,0,-23.983685557047494,-29.736509068806924,0.005739927189551963,0.004857778549194336,21.3245153427124,550.6554524739585,1.988439901520389,59.01415851754691,11
1950-12-16,32.680629,74.968992,0,12.64287147521975,5.611774063110374,2.982884645462,0.0,0.0,951.7135026041668,1.2134228878144804,62.26713369383964,12
1951-01-04,32.454693,84.376678,0,-22.71062571207679,-26.041299565633125,0.06362199782827815,0.05793571472167969,10.9781821568806,554.31345703125,0.9119496524501247,74.19990554854563,1
1951-01-17,28.591216,84.208337,0,-9.392326100667276,-12.046560033162393,14.0323340892791,13.9328390359878,1331.658124923706,620.7300113932291,0.24267375434559726,81.00483008532571,1
1951-03-18,31.797879,80.189874,0,-15.982127253214514,-19.38137219746909,0.2573311327864758,0.2526380121707916,171.5298891067505,565.9419222005208,0.7304126880279256,75.0717374632321,3
1951-11-03,27.896575,86.486777,0,-10.332329177856423,-13.861703618367471,0.28654860432197893,0.09970739483833312,24.171511332194,530.09177734375,0.7078374972893314,75.31591643116589,11
1951-11-06,30.962111,82.349671,0,-13.821928405761696,-19.71145922342933,0.008150935173034668,0.00729784369468689,3.9431651433307997,523.8985237630209,2.0959841419620924,61.08969416367553,11
1952-03-15,32.980929,75.951903,0,-4.918493652343727,-6.818863296508766,52.1776969996494,51.6568683087825,614.9857044219971,703.5118766276042,0.8626416063464912,86.52648110353086,3
1952-04-26,32.25203,86.000758,0,-1.8567515055338504,-8.32748133341471,1.3084144238177,0.9268857538700104,2.2877852121988,560.64130859375,1.945271891240824,61.28470720808542,4
1953-02-22,33.671049,74.282728,0,4.41352233886721,0.5455216725667356,4.9588856259674,4.4600144028663005,69.273829460144,820.7049137369792,0.9874303863786933,75.9660791900642,2
1953-04-08,27.423679,88.366701,0,6.853248214721702,5.247746404012048,18.5102105140231,6.3115507364273,283.3010752995809,721.7558610026042,0.19866523159569383,89.50793563847463,4
1953-04-09,26.403496,86.490202,0,27.71626434326174,18.895523325602255,0.44673979272147335,0.0,0.0,997.2769026692708,2.927070600672446,58.69773105489201,4
1954-01-26,26.56202,74.017469,0,15.666443125406943,-5.940722529093421,0.00044107436991680526,0.0,0.0,974.9337255859376,2.697619409902489,22.11479264624794,1
1954-02-09,29.254017,82.54832,0,-20.01958058675129,-25.525185648600257,0.007492876989090291,0.004772096872329712,267.9059108098348,573.535193684896,1.3209632246931342,61.49839223679193,2
1954-02-25,33.10374,74.961704,0,5.2629416147868255,-3.9103836059570085,0.08862614631155452,0.042147934436798096,88.6396169662475,831.0654850260418,0.7101358051051722,51.59283812523917,2
1954-02-28,30.767353,79.493052,0,-13.083095296223917,-26.102077865600563,0.06704330371576361,0.02856180071830749,3104.9543221791587,597.6761083984375,0.8016790611526081,32.69665090932237,2
1954-04-19,34.399828,72.124014,0,21.921057001749716,11.663174565633142,1.8540620803833,0.0,0.0,941.5766829427084,1.1843324415198846,52.147145229357726,4
1954-11-17,34.294686,73.611734,0,7.8615299224853175,-11.389668528238929,0.0,0.0,0.0058015187581380205,815.0916080729168,0.829350267867244,24.199852556710965,11
1954-11-17,34.397451,73.860665,0,3.2609439849853175,-14.467549387613929,0.0,0.0,0.2478758494059245,754.5057747395833,0.5794291162970939,25.95183304266051,11
1955-01-02,28.509066,84.961227,0,-19.378125890095987,-22.933014933268225,2.3619938756382,2.3562721908092,6693.807919820149,578.580517578125,0.5449431416490942,73.39463162498167,1
1955-02-15,28.309242,83.962494,0,-0.9960114796955963,-4.572306696573889,3.2516485821361,0.04158914089202881,28.5168886184692,747.2446028645833,0.7505778858573458,76.68918769365837,2
1955-04-10,29.963812,75.854295,0,29.381424204508505,-4.463573201497354,0.001288106830088509,0.0,0.0,978.1974251302084,1.2037474350492683,10.745792696674897,4
1955-04-11,30.795609,81.87738,0,-14.596296691894509,-17.696559651692695,0.2106483903503431,0.2047307789325714,46.8550523122151,541.4909928385416,0.5588506550983716,77.26128581835448,4
1955-04-15,28.611144,74.522325,0,23.080826059977255,-6.10470174153636,0.0008523463748133508,0.0,0.0,980.8960237630208,0.6935661318881381,13.769142232576812,4
1955-11-04,31.311008,72.133886,0,22.85282923380538,8.171067810058616,0.000852346317969932,0.0,0.0,993.2988525390624,1.2183331733241949,39.002599166124625,11
1956-01-21,26.492645,88.187519,0,15.709633127848349,5.32988001505538,0.0004351138045421976,0.0,0.0,993.8681461588542,0.9428873681488804,50.064638681564766,1
1956-03-19,32.394691,77.200958,0,-11.539317830403604,-20.677872721354134,4.0519336826037,4.0479227900504995,834.2596689860026,601.281193033854,0.598198697852198,46.745549450139926,3
1956-04-27,26.14958,88.124026,0,26.137185668945335,22.84759928385421,13.9806621696152,0.0,0.0,999.7272965494792,2.776191265493788,82.12853672570598,4
1957-02-21,31.528548,78.142533,0,-14.554225031534827,-22.767244084676094,0.2869099377562634,0.2848096191883087,518.6155637105306,648.1108707682291,0.655273048982476,49.70720692588732,2
1957-11-15,29.650036,83.911137,0,-4.376412455240882,-24.239881261189765,0.000859945021858266,0.0,0.0001986821492513021,573.83193359375,0.9443068038785636,19.60467662929521,11
1958-01-12,28.513385,81.162352,0,15.057192738850915,10.896843210856161,0.0004351138045421976,0.0,0.0,978.8341259765624,0.6911881740849655,76.19216269820672,1
1959-01-14,34.397451,73.860665,0,-11.000207646687784,-23.006864929199168,0.0,0.0,264.0669743220011,753.1200048828125,1.150003512627726,36.5187090869708,1
1959-02-28,30.954566,79.755005,0,-18.995236460367806,-31.21038602193198,0.009766612492967395,0.007368624210357666,237.2734546661377,528.9005110677084,1.1139945568468879,33.203522484643386,2
1959-11-15,28.215008,85.526744,0,-5.809114201863565,-13.042276128133096,0.03325939178466797,0.028926879167556763,1.8535455067952,566.5852229817708,0.2447976655068968,56.67376829283527,11
1960-03-10,32.871927,88.449633,0,-7.181462987263956,-27.234414800008125,0.11345330943868248,0.10863691568374634,0.8835792541503906,550.6077067057291,2.8829097294969857,18.496190007317306,3
1961-02-08,26.777279,76.503824,0,9.61642990112307,0.7621678670247434,0.0021517271306947805,0.0,0.0,979.675888671875,1.7155747493520428,54.02455899590145,2
1961-02-21,31.31939,78.42206,0,-19.73951886494953,-29.429696146647103,0.09294152255279188,0.0890679657459259,312.3258352279663,572.8819254557292,0.8550737297729323,41.886133067548556,2
1961-12-09,26.139225,86.858228,0,16.922557449340843,9.031856791178427,0.0008760113701100636,0.0,0.0,1010.3427799479168,1.5228986449662132,59.70185653269298,12
1962-01-02,32.372698,75.213307,0,8.41424140930178,1.0137719472249387,0.0004351138045421976,0.0,0.0,969.4600113932293,0.900609126998029,59.656858889195206,1
1962-02-11,34.301689,84.011271,0,-12.05843836466471,-23.705921554565407,0.2058145935848188,0.2037286758422852,3.8087368011473997,546.926484375,6.882850321607659,37.35075639263697,2
1962-04-15,28.217826,85.517401,0,-6.957023366292276,-10.924189631144202,0.6564891169205112,0.6471537053585052,265.0613784790039,566.7454150390626,0.05459440183770803,73.33651723365307,4
1962-11-08,33.144126,79.613647,0,-8.893945439656534,-30.491539382934548,0.0008593730171924108,0.0,0.2980629603068034,554.5520231119792,0.3747346323709311,15.583634786649746,11
1963-12-09,29.09254,74.865398,0,17.89005559285482,0.7977055867513059,0.00171051942743361,0.0,0.0,991.3749267578123,1.9727901251783035,31.639711213030225,12
1964-11-13,32.974846,72.019122,0,17.965270614624046,2.7392885843913177,0.000852346317969932,0.0,0.0,969.0144694010415,1.0371745798287788,36.17827940673622,11
1964-12-10,31.381232,77.527388,0,3.3665761311848996,-2.551761372884073,13.8987018632974,8.4937252104282,18.5092687606811,807.5437060546875,1.0589974280652394,65.19291424604245,12
1965-01-05,34.409163,74.098664,0,-8.07967923482255,-15.550005976359046,0.0011311545335956907,0.0007003545761108398,176.8175760904947,769.2287353515625,1.0207046069604089,54.95404061049557,1
1965-03-05,31.873789,78.815829,0,-22.94595883687333,-27.665665054321266,0.0008553266184208042,0.0,103.6597490310669,567.6956868489584,0.5831059886110282,65.27894943405398,3
1966-01-13,33.234318,86.890323,0,-18.88210525512693,-29.341457748413063,0.11744306982564012,0.11572986841201782,4.479010899861599,551.374943033854,1.3695606447962088,39.24637557345839,1
1966-01-16,31.235251,87.670625,0,-20.224062347412087,-25.659612401326484,0.0005692242552868265,0.00014156103134155273,8.629798889160101,547.6584440104166,1.7838765559502017,61.834379120747144,1
1966-03-07,27.704672,88.407818,0,-5.253960037231479,-5.6849807739257585,19.1588044166515,18.7442824244499,9999.0,595.7639436848959,0.9227376172572895,96.7816290359821,3
1966-11-19,33.395843,79.175117,0,-10.245375061035134,-24.89920845031733,0.03796815872192383,0.03711506724357605,0.5754232406616211,558.3260384114584,1.0575201945200499,29.051940912259216,11
1967-11-15,28.237891,85.536642,0,-10.746876780192054,-18.94946454366047,0.5855557860741101,0.5792789161205292,4.5071442921955995,564.3186783854167,0.2532091622049409,50.91610677138906,11
1968-01-27,26.283365,79.336693,0,15.360879516601642,8.676565424601279,0.0470013054609808,0.0,0.0,995.5277473958331,3.1659258600501543,64.39024653612037,1
1968-04-02,27.234667,87.5219,0,10.563802337646507,0.14034614562990555,0.4793769540469839,0.00011175870895385744,0.0003178914388020833,806.358271484375,0.6039545249518368,48.48125072798307,4
1969-01-01,28.655451,77.069739,0,14.642165120442712,5.4693256378174055,0.0012910605846627732,0.0,0.0,987.6029508463542,2.072784506143901,54.13996434543669,1
1969-01-22,32.788392,78.774031,0,-22.50127512613929,-30.20282847086591,0.004073011382388359,0.0019334256649017334,17.9047187169392,542.0855354817709,1.3912196500793939,49.51798855840088,1
1969-01-26,28.924824,78.344402,0,18.56307436625167,9.775818761189782,0.0,0.0,0.0,980.7778597005208,3.602561454378823,56.60164917216907,1
1969-03-15,30.297817,88.456902,0,-2.1015749613443973,-28.047529602050787,0.000852346317969932,0.0,0.01136461893717448,547.3011539713541,1.63323457297384,11.699870801365089,3
1969-11-15,26.690741,88.781466,0,19.68328755696615,16.429222361246843,1.3183653354643998,0.0,0.0,978.739990234375,0.825900280881486,81.50718585328642,11
1969-12-18,30.960642,88.692558,0,-9.242548370361305,-29.98497301737467,0.0021422993086162023,0.0,0.04533926645914713,554.4732666015625,2.1666229512333457,16.80063462025314,12
1970-03-11,29.070897,83.325634,0,-14.304387791951456,-18.903171920776344,0.7239043712274906,0.7189363241195679,65.4322703679402,557.4990804036458,0.6767638535341923,68.09677794887112,3
1971-11-22,27.527391,82.00075,0,20.798475519816122,14.611115392049157,0.0030132114261505194,0.0,0.0,1002.9308968098958,0.5713130413472509,67.71313400961985,11
1971-12-26,26.517992,75.24052,0,15.525542831420921,4.385644531250023,0.0008642671787129075,0.0,0.0,974.2393180338543,0.8899225153974085,47.431363279717374,12
1972-02-15,28.591301,84.14375,0,-13.428330485026038,-16.507796986897745,7.6469992911256,7.6406262814998005,259.0179840723673,606.5150406901041,0.2743697232621595,77.59979663559575,2
1972-04-12,29.143692,85.095315,0,-5.594063822428382,-12.878324890136696,0.8825898170421453,0.7803142070770264,1.9743839899698,572.2235091145834,1.2192780548402562,56.49910023129673,4
1973-01-17,31.210414,87.115275,0,-11.415686035156284,-23.51295636494953,0.15161633484694903,0.1429840922355652,4.2205254236857,552.3148128255209,2.567386793528378,36.09151402875019,1
1973-04-23,29.712323,74.238678,0,32.084111785888695,7.719967142740927,0.0,0.0,0.0,980.8569140625,0.8081549069079796,22.030021608170536,4
1973-11-25,31.64767,88.513857,0,-11.680152002970374,-17.464605077107734,0.10184049597228297,0.10009482502937316,12.614289919535299,581.4302783203125,2.2969198272704427,62.20238911180519,11
1973-12-26,28.865306,75.098218,0,10.161323165893577,1.8332382202148665,0.0012801461366507283,0.0,0.0,994.3505094401042,1.4275046385272265,56.24985551612176,12
1974-03-06,26.729062,78.801255,0,24.42707532246908,8.276905949910486,0.0008642672355563263,0.0,0.0,992.5281136067708,1.0740042310495919,35.729932481583035,3
1975-01-12,32.052734,78.709278,0,-30.95983225504554,-34.48549372355143,0.05100965489646114,0.04971399903297424,49.9096711476643,524.9887434895834,0.7506080211568565,71.07385912619303,1
1975-01-14,33.225966,76.654699,0,-24.10773569742838,-27.723356628417946,5.473497509854,5.4692290723323,9999.0,537.7438883463541,0.7240071511706374,71.99664208597139,1
1975-01-17,28.5139,84.547015,0,-16.7890800476074,-22.572552108764654,1.0577887278486,1.055646687746,6619.9045578638725,557.7609635416666,0.3174673843402539,60.8558807145038,1
1975-02-18,33.567255,74.417193,0,-6.247215016682901,-17.23623631795246,0.02501904964447021,2.2351741790771484e-05,363.4642362594604,694.582470703125,0.7669783371130107,41.46286124892084,2
1975-03-11,28.840926,83.059938,0,-10.384539667765296,-11.650624974568643,7.7681367311583,7.7552236616611,171.6365019480387,599.9168798828125,0.6607872155641487,90.41657282644968,3
1975-11-15,28.194314,85.307218,0,3.0287242889404524,0.3281042734782318,1.3843784945493,0.07326528429985046,0.05880991617838541,665.0338899739583,0.05439463164473685,82.43379347146794,11
1976-11-21,30.84001,77.412028,0,9.746354675292991,-1.7020858764647642,0.0017127939031524877,0.0,0.0,790.824814453125,0.18546643136335345,44.76031874764283,11
1977-02-06,27.417884,79.061538,0,13.789669291178427,2.2483815511067746,0.001284479992591514,0.0,0.0,997.4019563802084,3.219394796517196,45.622743416129474,2
1977-03-11,26.373398,79.784879,0,24.92677714029952,8.320292409261071,0.002136116961537482,0.0,0.0,994.5971142578123,2.3167711355346166,34.780799877587874,3
1977-11-12,28.688915,88.356839,0,-9.578836822509743,-17.879900360107428,1.4142900704427999,1.3493932783603,2.7971267700195,528.1085546875,1.4592541237315366,50.84195958675542,11
1978-01-15,27.982304,85.272362,0,6.8118822733561615,0.8903143564860443,0.040841483667009015,0.03256276249885559,0.3801981608072917,796.2316910807292,0.30576620742570854,65.95526962292668,1
1978-02-17,27.64065,75.782287,0,11.434707260131859,7.650297419230185,3.9960294961929,0.0,0.0,957.38400390625,2.9376945858075687,77.56059632425334,2
1978-02-18,33.793152,74.346548,0,-6.837887827555335,-8.935886128743448,4.2293488978657,4.1157379746437,306.5888881683349,712.7802913411458,0.08500539055850267,84.99951526874057,2
1978-02-23,29.834796,81.610513,0,-14.470551554361975,-30.56328112284342,0.0017134701693066743,0.0,323.7842321395874,634.15263671875,1.5632049039194813,24.185730004930704,2
1978-02-25,33.430363,75.214877,0,-3.347783152262366,-12.952180608113565,0.0004261732087229575,0.0,364.4486665725708,769.3285725911458,1.7561005278951285,47.42674455694714,2
1978-03-15,32.759515,76.19334,1,2.9298536936442474,-1.5951204935709598,4.5389682054519005,0.7790215313434601,602.5492747624716,776.2038753255208,0.7859039265628036,72.15311878406861,3
1978-04-27,29.105506,74.725529,0,31.53636957804366,8.99361063639327,0.000852346317969932,0.0,0.0,981.0496370442708,1.165570597045282,24.77390086291007,4
1978-12-07,27.463801,73.976389,0,16.145131047566736,3.9486525217692474,0.0021383139028330334,0.0,0.0,982.8836100260415,1.614339136404563,44.214365549987264,12
1979-01-08,29.445812,79.053563,0,13.552216466267907,8.030840174357138,0.0008593796856359859,0.0,0.0,944.538271484375,0.9724525038994684,69.27227478873826,1
1979-03-15,31.841332,77.485476,1,-10.046910349527991,-17.089788182576456,0.015154480934143066,0.014021992683410645,482.6082388559977,638.6247200520834,1.182968453890509,56.379672135461725,3
1979-04-09,31.506025,82.34933,0,-3.2986555735270144,-23.042466862996378,0.0012841485954595555,0.0,0.4143714904785156,568.1029947916666,2.1691420293042465,20.118505248076467,4
1980-02-03,28.349839,84.639285,0,-10.823308690388956,-16.303923670450843,0.6508231163024902,0.6299503147602081,3449.624578158061,584.0030354817709,0.4356424695770552,64.02578882127041,2
1980-03-27,29.906684,73.304818,0,23.460691070556663,6.546252187093103,0.0,0.0,0.0,996.1492106119792,1.892086455843426,33.64536369632546,3
1981-02-21,26.09869,75.344024,0,20.711347834269247,1.8012189229329465,0.0030083210731390864,0.0,0.0,975.53828125,1.3001304772402238,28.525839256429,2
